gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
ARID1A,67407.5,4.130022680808953,42764.833333333336,5.216025074760329,PMC9854651,pmcid
ARIH1,66367.5,3.690472227141089,84128.5,4.416793010549723,PMC9854651,pmcid
ARIH2,966581.6666666666,4.513488394597808,807821.6666666666,3.271791284296164,PMC9854651,pmcid
ARL1,112326.66666666667,4.231813525539257,107898.5,4.534241929794221,PMC9854651,pmcid
ARL2,19246.666666666668,4.545282369636454,53864.0,4.258617331214626,PMC9854651,pmcid
ARL3,137178.33333333334,4.2845638218888595,128910.0,4.491345349110723,PMC9854651,pmcid
ARL6,45373.833333333336,5.332236415491443,38862.5,4.327202219477882,PMC9854651,pmcid
ARL6IP1,26870.5,5.705448882685661,40528.666666666664,5.352034511070452,PMC9854651,pmcid
ARL6IP4,44312.666666666664,5.507363302140455,30366.166666666668,5.7149860152963265,PMC9854651,pmcid
ARL6IP5,327103.3333333333,5.08080079495998,352890.0,5.443979698940977,PMC9854651,pmcid
ARL8A,74663.83333333333,5.478532828049976,66660.33333333333,5.0615724715456585,PMC9854651,pmcid
ARL8B,190776.66666666666,5.961877298664033,179715.0,5.517437838616176,PMC9854651,pmcid
ARMC1,93332.5,5.1091053007305485,69750.83333333333,5.926771897604511,PMC9854651,pmcid
ARMC6,388530.0,3.731118494992544,269531.6666666667,4.417100626756082,PMC9854651,pmcid
ARMC8,41461.666666666664,4.9403197129305525,33245.166666666664,4.119002807114529,PMC9854651,pmcid
ARMC9,41316.5,5.17450899596109,31929.666666666668,4.643538210915115,PMC9854651,pmcid
ARMT1,155253.33333333334,4.66401169742383,111951.66666666667,4.8972686963151695,PMC9854651,pmcid
ARNT,24929.333333333332,5.212409579610377,20928.833333333332,4.409005525869249,PMC9854651,pmcid
ARPC1A,133150.0,4.90378610952421,102312.5,5.11209646320043,PMC9854651,pmcid
ARPC1B,502640.0,5.683010995707446,507861.6666666667,4.802341495555066,PMC9854651,pmcid
ARPC2,627738.3333333334,3.956384563098206,568091.6666666666,5.6881319768744625,PMC9854651,pmcid
ARPC3,1043056.6666666666,4.65511601490103,928306.6666666666,3.8878178995513313,PMC9854651,pmcid
ARPC4,885925.0,4.796587051978662,830373.3333333334,4.2583051702789,PMC9854651,pmcid
